,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.133,0.172,0.189,0.134,0.545,0.143,0.234,0.247,0.109,0.636
1,BLACK/AFRICAN AMERICAN,0.162,0.251,0.156,0.067,1.0,0.265,0.302,0.366,0.175,
2,HISPANIC/LATINO,0.166,0.277,0.22,0.048,,0.167,0.366,0.423,0.156,0.125
3,OTHER,0.133,0.144,0.368,0.079,,0.091,0.18,0.182,0.122,0.8
4,ASIAN,0.122,0.192,0.083,0.097,,0.266,0.176,0.529,0.444,
5,AMERICAN INDIAN/ALASKA NATIVE,0.0,0.16,1.0,,,0.043,0.2,,0.0,
