,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.13,0.189,0.204,0.132,0.545,0.16,0.255,0.29,0.116,0.636
1,BLACK/AFRICAN AMERICAN,0.169,0.256,0.185,0.08,1.0,0.273,0.33,0.436,0.189,
2,HISPANIC/LATINO,0.166,0.284,0.22,0.048,,0.172,0.376,0.423,0.178,0.125
3,OTHER,0.108,0.152,0.368,0.132,,0.109,0.209,0.182,0.143,0.8
4,ASIAN,0.144,0.202,0.083,0.097,,0.234,0.191,0.647,0.444,
5,AMERICAN INDIAN/ALASKA NATIVE,0.0,0.2,1.0,,,0.043,0.2,,0.0,
