,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.127,0.18,0.18,0.122,0.545,0.147,0.237,0.251,0.103,0.636
1,BLACK/AFRICAN AMERICAN,0.152,0.261,0.162,0.067,1.0,0.258,0.313,0.396,0.158,
2,HISPANIC/LATINO,0.154,0.252,0.22,0.048,,0.172,0.356,0.423,0.133,0.0
3,OTHER,0.127,0.121,0.368,0.079,,0.1,0.18,0.182,0.102,0.6
4,ASIAN,0.122,0.192,0.083,0.111,,0.25,0.191,0.529,0.407,
5,AMERICAN INDIAN/ALASKA NATIVE,0.043,0.2,1.0,,,0.043,0.2,,0.0,
