,race,FPR_60_80_M,CI_FPR_60_80_M,FPR_40_60_M,CI_FPR_40_60_M,FPR_20_40_M,CI_FPR_20_40_M,FPR_80+_M,CI_FPR_80+_M,FPR_0_20_M,CI_FPR_0_20_M,FPR_60_80_F,CI_FPR_60_80_F,FPR_40_60_F,CI_FPR_40_60_F,FPR_20_40_F,CI_FPR_20_40_F,FPR_80+_F,CI_FPR_80+_F,FPR_0_20_F,CI_FPR_0_20_F
0,AMERICAN INDIAN/ALASKA NATIVE,0.017,0.021,0.192,0.016,1.0,0.0,,,,,0.052,0.017,0.24,0.052,,,0.0,0.0,,
1,ASIAN,0.135,0.014,0.194,0.007,0.083,0.0,0.105,0.007,,,0.269,0.026,0.188,0.006,0.565,0.069,0.422,0.029,,
2,BLACK/AFRICAN AMERICAN,0.168,0.013,0.267,0.019,0.176,0.021,0.08,0.012,1.0,0.0,0.272,0.014,0.32,0.017,0.412,0.028,0.171,0.015,,
3,HISPANIC/LATINO,0.163,0.008,0.281,0.02,0.228,0.01,0.048,0.0,,,0.173,0.005,0.38,0.024,0.423,0.0,0.16,0.016,0.1,0.049
4,OTHER,0.127,0.009,0.141,0.01,0.368,0.0,0.111,0.027,,,0.102,0.007,0.192,0.014,0.187,0.009,0.126,0.023,0.8,0.124
5,WHITE,0.135,0.009,0.187,0.011,0.198,0.011,0.134,0.008,0.563,0.036,0.154,0.009,0.247,0.011,0.268,0.017,0.11,0.008,0.672,0.044
