,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.153,0.206,0.206,0.149,0.636,0.17,0.265,0.286,0.122,0.727
1,BLACK/AFRICAN AMERICAN,0.192,0.305,0.214,0.1,1.0,0.299,0.349,0.446,0.184,
2,HISPANIC/LATINO,0.177,0.316,0.236,0.048,,0.182,0.426,0.423,0.178,0.125
3,OTHER,0.133,0.144,0.368,0.145,,0.109,0.209,0.182,0.163,1.0
4,ASIAN,0.158,0.202,0.083,0.111,,0.312,0.191,0.471,0.444,
5,AMERICAN INDIAN/ALASKA NATIVE,0.043,0.2,1.0,,,0.043,0.267,,0.0,
