,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.053,0.089,0.14,0.049,0.233,0.065,0.106,0.116,0.081,0.0
1,BLACK/AFRICAN AMERICAN,0.065,0.059,0.167,0.109,0.04,0.083,0.087,0.027,0.05,0.0
2,HISPANIC/LATINO,0.034,0.125,0.022,0.029,0.5,0.055,0.029,0.0,0.125,0.0
3,OTHER,0.061,0.094,0.105,0.081,0.125,0.104,0.072,0.135,0.148,0.5
4,ASIAN,0.084,0.101,0.086,0.042,0.0,0.076,0.134,0.149,0.053,
5,AMERICAN INDIAN/ALASKA NATIVE,0.182,0.071,0.122,0.0,1.0,0.062,0.125,0.19,0.167,0.0
