,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.044,0.06,0.106,0.038,0.033,0.048,0.084,0.075,0.078,0.0
1,BLACK/AFRICAN AMERICAN,0.072,0.064,0.167,0.13,0.0,0.09,0.074,0.027,0.01,0.0
2,HISPANIC/LATINO,0.0,0.083,0.022,0.057,0.5,0.055,0.014,0.0,0.25,0.0
3,OTHER,0.043,0.066,0.09,0.065,0.25,0.095,0.048,0.143,0.148,0.5
4,ASIAN,0.084,0.066,0.065,0.028,0.0,0.097,0.089,0.096,0.06,
5,AMERICAN INDIAN/ALASKA NATIVE,0.091,0.071,0.098,0.0,1.0,0.078,0.083,0.19,0.0,0.0
