,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.037,0.06,0.095,0.042,0.0,0.05,0.062,0.059,0.078,0.026
1,BLACK/AFRICAN AMERICAN,0.052,0.064,0.167,0.109,0.0,0.069,0.081,0.027,0.02,0.0
2,HISPANIC/LATINO,0.0,0.083,0.022,0.029,0.5,0.055,0.014,0.071,0.125,0.0
3,OTHER,0.056,0.06,0.086,0.065,0.25,0.083,0.045,0.111,0.148,0.5
4,ASIAN,0.077,0.069,0.054,0.028,0.0,0.083,0.089,0.053,0.04,
5,AMERICAN INDIAN/ALASKA NATIVE,0.136,0.107,0.073,0.0,1.0,0.109,0.042,0.19,0.167,0.0
