Race,#,FPR,CI_FPR
White,20096.857,0.11,0.052
Black,20096.857,0.11,0.052
Hisp,20096.857,0.11,0.052
Other,20096.857,0.11,0.052
Asian,20096.857,0.11,0.052
American,20096.857,0.11,0.052
