Age,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
0-20,,,,
20-40,0.405,0.004,0.372,0.007
40-60,0.334,0.005,0.296,0.006
60-80,0.25,0.007,0.229,0.005
80+,0.212,0.003,0.215,0.003
