race,FPR_F,CI_FPR_F,FPR_M,CI_FPR_M
White,,,0.4,0.131
Black,0.308,0.011,0.199,0.004
Hisp,0.294,0.005,0.303,0.004
Other,0.307,0.011,0.325,0.007
Asian,0.238,0.008,0.307,0.006
American,0.27,0.004,0.242,0.005
