race,#,FPR,CI_FPR
White,9299.0,0.254,0.005
Black,2307.0,0.297,0.004
Hisp,724.0,0.318,0.004
Other,747.0,0.279,0.007
Asian,503.0,0.232,0.005
American,3.0,0.4,0.131
