,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.047,0.069,0.111,0.036,0.067,0.055,0.08,0.07,0.08,0.0
1,BLACK/AFRICAN AMERICAN,0.059,0.069,0.13,0.13,0.0,0.062,0.128,0.041,0.05,0.0
2,HISPANIC/LATINO,0.0,0.056,0.022,0.057,0.5,0.036,0.029,0.0,0.125,0.0
3,OTHER,0.046,0.058,0.1,0.081,0.125,0.104,0.05,0.079,0.136,1.0
4,ASIAN,0.065,0.066,0.054,0.033,0.0,0.083,0.083,0.074,0.04,
5,AMERICAN INDIAN/ALASKA NATIVE,0.091,0.107,0.098,0.0,1.0,0.078,0.125,0.238,0.0,0.0
