,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.056,0.076,0.118,0.052,0.1,0.069,0.089,0.075,0.102,0.026
1,BLACK/AFRICAN AMERICAN,0.078,0.101,0.13,0.174,0.0,0.083,0.141,0.054,0.079,0.0
2,HISPANIC/LATINO,0.0,0.056,0.022,0.057,0.5,0.055,0.043,0.0,0.125,0.0
3,OTHER,0.058,0.068,0.105,0.081,0.125,0.122,0.062,0.095,0.182,1.0
4,ASIAN,0.081,0.084,0.054,0.033,0.0,0.101,0.102,0.074,0.046,
5,AMERICAN INDIAN/ALASKA NATIVE,0.091,0.107,0.122,0.0,1.0,0.125,0.083,0.238,0.0,0.5
