,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.05,0.068,0.113,0.042,0.067,0.057,0.079,0.059,0.073,0.0
1,BLACK/AFRICAN AMERICAN,0.072,0.074,0.111,0.152,0.0,0.076,0.134,0.054,0.04,0.0
2,HISPANIC/LATINO,0.0,0.056,0.022,0.029,0.5,0.036,0.014,0.0,0.125,0.0
3,OTHER,0.046,0.062,0.1,0.073,0.125,0.107,0.045,0.079,0.136,0.75
4,ASIAN,0.073,0.066,0.054,0.028,0.0,0.094,0.089,0.085,0.033,
5,AMERICAN INDIAN/ALASKA NATIVE,0.091,0.107,0.073,0.0,1.0,0.094,0.125,0.19,0.0,0.0
