,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.053,0.079,0.123,0.041,0.1,0.061,0.087,0.075,0.081,0.0
1,BLACK/AFRICAN AMERICAN,0.072,0.09,0.148,0.13,0.0,0.069,0.134,0.041,0.05,0.0
2,HISPANIC/LATINO,0.0,0.069,0.022,0.029,0.5,0.055,0.029,0.0,0.125,0.0
3,OTHER,0.056,0.07,0.11,0.081,0.125,0.107,0.055,0.087,0.136,1.0
4,ASIAN,0.077,0.075,0.065,0.028,0.0,0.101,0.096,0.096,0.04,
5,AMERICAN INDIAN/ALASKA NATIVE,0.091,0.143,0.122,0.0,1.0,0.125,0.125,0.19,0.0,0.0
