,race,FPR_60_80_M,CI_FPR_60_80_M,FPR_40_60_M,CI_FPR_40_60_M,FPR_20_40_M,CI_FPR_20_40_M,FPR_80+_M,CI_FPR_80+_M,FPR_0_20_M,CI_FPR_0_20_M,FPR_60_80_F,CI_FPR_60_80_F,FPR_40_60_F,CI_FPR_40_60_F,FPR_20_40_F,CI_FPR_20_40_F,FPR_80+_F,CI_FPR_80+_F,FPR_0_20_F,CI_FPR_0_20_F
0,AMERICAN INDIAN/ALASKA NATIVE,0.091,0.0,0.114,0.014,0.107,0.019,0.0,0.0,1.0,0.0,0.109,0.019,0.117,0.016,0.219,0.023,0.0,0.0,0.2,0.24
1,ASIAN,0.073,0.005,0.073,0.007,0.054,0.007,0.03,0.002,0.0,0.0,0.094,0.007,0.092,0.006,0.085,0.01,0.04,0.004,,
2,BLACK/AFRICAN AMERICAN,0.069,0.006,0.085,0.011,0.126,0.014,0.143,0.017,0.0,0.0,0.075,0.008,0.136,0.005,0.046,0.006,0.062,0.019,0.0,0.0
3,HISPANIC/LATINO,0.0,0.0,0.059,0.005,0.022,0.0,0.04,0.013,0.5,0.0,0.044,0.009,0.026,0.011,0.0,0.0,0.125,0.0,0.0,0.0
4,OTHER,0.05,0.005,0.065,0.004,0.102,0.005,0.078,0.004,0.125,0.0,0.11,0.006,0.053,0.006,0.085,0.006,0.145,0.018,0.9,0.12
5,WHITE,0.051,0.003,0.074,0.005,0.117,0.004,0.043,0.005,0.1,0.036,0.06,0.005,0.085,0.005,0.072,0.007,0.085,0.01,0.005,0.01
