,race,FPR_60_80_M,FPR_40_60_M,FPR_20_40_M,FPR_80+_M,FPR_0_20_M,FPR_60_80_F,FPR_40_60_F,FPR_20_40_F,FPR_80+_F,FPR_0_20_F
0,WHITE,0.051,0.079,0.118,0.042,0.167,0.059,0.091,0.08,0.087,0.0
1,BLACK/AFRICAN AMERICAN,0.065,0.09,0.111,0.13,0.0,0.083,0.141,0.041,0.089,0.0
2,HISPANIC/LATINO,0.0,0.056,0.022,0.029,0.5,0.036,0.014,0.0,0.125,0.0
3,OTHER,0.046,0.068,0.095,0.073,0.125,0.11,0.055,0.087,0.136,0.75
4,ASIAN,0.071,0.072,0.043,0.028,0.0,0.09,0.089,0.096,0.04,
5,AMERICAN INDIAN/ALASKA NATIVE,0.091,0.107,0.122,0.0,1.0,0.125,0.125,0.238,0.0,0.5
